time,voltage
1.6698968788E-03,4.200200E-01
1.6699218788E-03,4.200200E-01
1.6699468788E-03,4.199300E-01
1.6699718788E-03,4.198500E-01
1.6699968788E-03,4.197700E-01
1.6700218788E-03,4.198500E-01
1.6700468788E-03,4.200200E-01
1.6700718788E-03,4.201000E-01
1.6700968788E-03,4.203600E-01
1.6701218788E-03,4.205300E-01
1.6701468788E-03,4.205300E-01
1.6701718788E-03,4.203600E-01
1.6701968788E-03,4.201900E-01
1.6702218788E-03,4.201000E-01
1.6702468788E-03,4.199300E-01
1.6702718788E-03,4.198500E-01
1.6702968788E-03,4.198500E-01
1.6703218788E-03,4.198500E-01
1.6703468788E-03,4.198500E-01
1.6703718788E-03,4.198500E-01
1.6703968788E-03,4.198500E-01
1.6704218788E-03,4.197700E-01
1.6704468788E-03,4.197700E-01
1.6704718788E-03,4.196800E-01
1.6704968788E-03,4.196000E-01
1.6705218788E-03,4.196000E-01
1.6705468788E-03,4.199300E-01
1.6705718788E-03,4.203600E-01
1.6705968788E-03,4.208700E-01
1.6706218788E-03,4.212000E-01
1.6706468788E-03,4.212900E-01
1.6706718788E-03,4.212000E-01
1.6706968788E-03,4.208700E-01
1.6707218788E-03,4.204400E-01
1.6707468788E-03,4.200200E-01
1.6707718788E-03,4.196800E-01
1.6707968788E-03,4.194300E-01
1.6708218788E-03,4.193400E-01
1.6708468788E-03,4.195100E-01
1.6708718788E-03,4.197700E-01
1.6708968788E-03,4.201900E-01
1.6709218788E-03,4.207000E-01
1.6709468788E-03,4.211200E-01
1.6709718788E-03,4.215400E-01
1.6709968788E-03,4.218000E-01
1.6710218788E-03,4.218000E-01
1.6710468788E-03,4.216300E-01
1.6710718788E-03,4.213700E-01
1.6710968788E-03,4.210300E-01
1.6711218788E-03,4.207800E-01
1.6711468788E-03,4.206100E-01
1.6711718788E-03,4.205300E-01
1.6711968788E-03,4.207000E-01
1.6712218788E-03,4.210300E-01
1.6712468788E-03,4.213700E-01
1.6712718788E-03,4.216300E-01
1.6712968788E-03,4.218000E-01
1.6713218788E-03,4.218000E-01
1.6713468788E-03,4.217100E-01
1.6713718788E-03,4.217100E-01
1.6713968788E-03,4.217100E-01
1.6714218788E-03,4.218800E-01
1.6714468788E-03,4.221300E-01
1.6714718788E-03,4.223900E-01
1.6714968788E-03,4.225600E-01
1.6715218788E-03,4.224700E-01
1.6715468788E-03,4.222200E-01
1.6715718788E-03,4.218000E-01
1.6715968788E-03,4.214600E-01
1.6716218788E-03,4.212000E-01
1.6716468788E-03,4.209500E-01
1.6716718788E-03,4.208700E-01
1.6716968788E-03,4.209500E-01
1.6717218788E-03,4.211200E-01
1.6717468788E-03,4.213700E-01
1.6717718788E-03,4.215400E-01
1.6717968788E-03,4.216300E-01
1.6718218788E-03,4.215400E-01
1.6718468788E-03,4.212900E-01
1.6718718788E-03,4.209500E-01
1.6718968788E-03,4.206100E-01
1.6719218788E-03,4.204400E-01
1.6719468788E-03,4.203600E-01
1.6719718788E-03,4.204400E-01
1.6719968788E-03,4.206100E-01
1.6720218788E-03,4.208700E-01
1.6720468788E-03,4.212000E-01
1.6720718788E-03,4.214600E-01
1.6720968788E-03,4.216300E-01
1.6721218788E-03,4.218000E-01
1.6721468788E-03,4.218800E-01
1.6721718788E-03,4.218800E-01
1.6721968788E-03,4.218000E-01
1.6722218788E-03,4.216300E-01
1.6722468788E-03,4.212900E-01
1.6722718788E-03,4.209500E-01
1.6722968788E-03,4.207800E-01
1.6723218788E-03,4.207000E-01
1.6723468788E-03,4.207800E-01
1.6723718788E-03,4.209500E-01
1.6723968788E-03,4.212000E-01
1.6724218788E-03,4.214600E-01
1.6724468788E-03,4.216300E-01
1.6724718788E-03,4.218800E-01
1.6724968788E-03,4.220500E-01
1.6725218788E-03,4.222200E-01
1.6725468788E-03,4.222200E-01
1.6725718788E-03,4.222200E-01
1.6725968788E-03,4.222200E-01
1.6726218788E-03,4.222200E-01
1.6726468788E-03,4.221300E-01
1.6726718788E-03,4.220500E-01
1.6726968788E-03,4.219600E-01
1.6727218788E-03,4.218000E-01
1.6727468788E-03,4.216300E-01
1.6727718788E-03,4.214600E-01
1.6727968788E-03,4.212900E-01
1.6728218788E-03,4.211200E-01
1.6728468788E-03,4.212000E-01
1.6728718788E-03,4.212900E-01
1.6728968788E-03,4.214600E-01
1.6729218788E-03,4.214600E-01
1.6729468788E-03,4.215400E-01
1.6729718788E-03,4.215400E-01
1.6729968788E-03,4.214600E-01
1.6730218788E-03,4.213700E-01
1.6730468788E-03,4.212900E-01
1.6730718788E-03,4.211200E-01
1.6730968788E-03,4.209500E-01
1.6731218788E-03,4.207000E-01
1.6731468788E-03,4.203600E-01
1.6731718788E-03,4.200200E-01
1.6731968788E-03,4.199300E-01
1.6732218788E-03,4.199300E-01
1.6732468788E-03,4.200200E-01
1.6732718788E-03,4.200200E-01
1.6732968788E-03,4.201000E-01
1.6733218788E-03,4.202700E-01
1.6733468788E-03,4.204400E-01
1.6733718788E-03,4.207000E-01
1.6733968788E-03,4.208700E-01
1.6734218788E-03,4.210300E-01
1.6734468788E-03,4.210300E-01
1.6734718788E-03,4.210300E-01
1.6734968788E-03,4.210300E-01
1.6735218788E-03,4.209500E-01
1.6735468788E-03,4.208700E-01
1.6735718788E-03,4.208700E-01
1.6735968788E-03,4.209500E-01
1.6736218788E-03,4.210300E-01
1.6736468788E-03,4.212000E-01
1.6736718788E-03,4.212000E-01
1.6736968788E-03,4.212000E-01
1.6737218788E-03,4.209500E-01
1.6737468788E-03,4.206100E-01
1.6737718788E-03,4.201900E-01
1.6737968788E-03,4.197700E-01
1.6738218788E-03,4.196000E-01
1.6738468788E-03,4.196000E-01
1.6738718788E-03,4.198500E-01
1.6738968788E-03,4.201900E-01
1.6739218788E-03,4.205300E-01
1.6739468788E-03,4.207000E-01
1.6739718788E-03,4.208700E-01
1.6739968788E-03,4.208700E-01
1.6740218788E-03,4.208700E-01
1.6740468788E-03,4.209500E-01
1.6740718788E-03,4.211200E-01
1.6740968788E-03,4.212900E-01
1.6741218788E-03,4.215400E-01
1.6741468788E-03,4.215400E-01
1.6741718788E-03,4.214600E-01
1.6741968788E-03,4.212000E-01
1.6742218788E-03,4.208700E-01
1.6742468788E-03,4.205300E-01
1.6742718788E-03,4.201900E-01
1.6742968788E-03,4.199300E-01
1.6743218788E-03,4.198500E-01
1.6743468788E-03,4.198500E-01
1.6743718788E-03,4.201000E-01
1.6743968788E-03,4.203600E-01
1.6744218788E-03,4.205300E-01
1.6744468788E-03,4.204400E-01
1.6744718788E-03,4.203600E-01
1.6744968788E-03,4.201900E-01
1.6745218788E-03,4.201900E-01
1.6745468788E-03,4.201900E-01
1.6745718788E-03,4.203600E-01
1.6745968788E-03,4.204400E-01
1.6746218788E-03,4.204400E-01
1.6746468788E-03,4.203600E-01
1.6746718788E-03,4.201900E-01
1.6746968788E-03,4.199300E-01
1.6747218788E-03,4.197700E-01
1.6747468788E-03,4.196800E-01
1.6747718788E-03,4.196800E-01
1.6747968788E-03,4.198500E-01
1.6748218788E-03,4.200200E-01
1.6748468788E-03,4.202700E-01
1.6748718788E-03,4.206100E-01
1.6748968788E-03,4.209500E-01
1.6749218788E-03,4.212000E-01
1.6749468788E-03,4.213700E-01
1.6749718788E-03,4.215400E-01
1.6749968788E-03,4.216300E-01
1.6750218788E-03,4.218000E-01
1.6750468788E-03,4.218800E-01
1.6750718788E-03,4.218800E-01
1.6750968788E-03,4.216300E-01
1.6751218788E-03,4.212900E-01
1.6751468788E-03,4.208700E-01
1.6751718788E-03,4.205300E-01
1.6751968788E-03,4.202700E-01
1.6752218788E-03,4.199300E-01
1.6752468788E-03,4.196000E-01
1.6752718788E-03,4.194300E-01
1.6752968788E-03,4.196000E-01
1.6753218788E-03,4.200200E-01
1.6753468788E-03,4.205300E-01
1.6753718788E-03,4.208700E-01
1.6753968788E-03,4.210300E-01
1.6754218788E-03,4.209500E-01
1.6754468788E-03,4.207000E-01
1.6754718788E-03,4.205300E-01
1.6754968788E-03,4.202700E-01
1.6755218788E-03,4.200200E-01
1.6755468788E-03,4.197700E-01
1.6755718788E-03,4.196000E-01
1.6755968788E-03,4.196000E-01
1.6756218788E-03,4.196800E-01
1.6756468788E-03,4.197700E-01
1.6756718788E-03,4.196800E-01
1.6756968788E-03,4.196800E-01
1.6757218788E-03,4.196000E-01
1.6757468788E-03,4.195100E-01
1.6757718788E-03,4.195100E-01
1.6757968788E-03,4.196000E-01
1.6758218788E-03,4.199300E-01
1.6758468788E-03,4.203600E-01
1.6758718788E-03,4.207800E-01
1.6758968788E-03,4.211200E-01
1.6759218788E-03,4.212000E-01
1.6759468788E-03,4.211200E-01
1.6759718788E-03,4.209500E-01
1.6759968788E-03,4.207800E-01
1.6760218788E-03,4.207000E-01
1.6760468788E-03,4.205300E-01
1.6760718788E-03,4.204400E-01
1.6760968788E-03,4.203600E-01
1.6761218788E-03,4.203600E-01
1.6761468788E-03,4.202700E-01
